time,left_gate,right_gate,delta
17.72,112.56,81.04,31.519999999999996
17.72,112.35,80.85,31.5
17.72,112.34,80.83,31.510000000000005
17.72,112.44,80.94,31.5
17.72,112.51,81.01,31.5
17.72,112.41,80.92,31.489999999999995
17.72,112.35,80.86,31.489999999999995
17.72,111.42,80.01,31.409999999999997
17.721,111.41,80.01,31.39999999999999
17.73,112.41,80.94,31.47
17.73,112.53,81.04,31.489999999999995
17.73,112.5,81.01,31.489999999999995
17.73,112.3,80.82,31.480000000000004
17.73,112.28,80.79,31.489999999999995
17.73,112.41,80.92,31.489999999999995
17.73,112.49,80.98,31.50999999999999
17.73,112.38,80.88,31.5
17.73,111.38,79.96,31.42
17.73,111.43,80.03,31.400000000000006
17.74,112.43,80.96,31.470000000000013
17.74,112.55,81.06,31.489999999999995
17.74,112.51,81.02,31.49000000000001
17.74,112.3,80.83,31.47
17.74,112.27,80.82,31.450000000000003
17.74,112.41,80.95,31.459999999999994
17.74,112.46,81.0,31.459999999999994
17.74,112.37,80.91,31.460000000000008
17.74,111.35,79.98,31.36999999999999
17.74,111.39,80.04,31.349999999999994
17.741,111.45,80.1,31.35000000000001
17.75,112.54,81.1,31.440000000000012
17.75,112.53,81.07,31.460000000000008
17.75,112.42,80.95,31.47
17.75,112.27,80.81,31.459999999999994
17.75,112.32,80.88,31.439999999999998
17.75,112.44,80.99,31.450000000000003
17.75,112.41,80.97,31.439999999999998
17.75,111.4,80.03,31.370000000000005
17.75,111.36,80.01,31.349999999999994
17.75,111.45,80.1,31.35000000000001
17.76,112.54,81.09,31.450000000000003
17.76,112.54,81.07,31.470000000000013
17.76,112.45,80.98,31.47
17.76,112.31,80.85,31.460000000000008
17.76,112.37,80.9,31.47
17.76,112.44,80.97,31.47
17.76,112.47,80.98,31.489999999999995
17.76,112.51,81.03,31.480000000000004
17.76,111.48,80.09,31.39
17.76,111.52,80.15,31.36999999999999
17.77,112.53,81.08,31.450000000000003
17.77,112.66,81.18,31.47999999999999
17.77,112.61,81.13,31.480000000000004
17.77,112.41,80.95,31.459999999999994
17.77,112.39,80.93,31.459999999999994
17.77,112.53,81.05,31.480000000000004
17.77,112.59,81.11,31.480000000000004
17.77,112.48,81.01,31.47
17.77,111.49,80.09,31.39999999999999
17.77,111.54,80.14,31.400000000000006
17.78,112.54,81.06,31.480000000000004
17.78,112.67,81.15,31.519999999999996
17.78,112.63,81.1,31.53
17.78,112.42,80.89,31.53
17.78,112.41,80.88,31.53
17.78,112.55,81.01,31.539999999999992
17.78,112.61,81.05,31.560000000000002
17.78,112.51,80.96,31.55000000000001
17.78,111.5,80.03,31.47
17.78,111.54,80.08,31.460000000000008
17.79,112.54,81.0,31.540000000000006
17.79,112.66,81.1,31.560000000000002
17.79,112.63,81.05,31.58
17.79,112.43,80.86,31.570000000000007
17.79,112.41,80.83,31.58
17.79,112.54,80.96,31.580000000000013
17.79,112.61,81.03,31.58
17.79,112.5,80.92,31.58
17.79,111.5,80.01,31.489999999999995
17.79,111.56,80.08,31.480000000000004
17.8,112.56,81.0,31.560000000000002
17.8,112.67,81.09,31.58
17.8,112.64,81.05,31.590000000000003
17.8,112.45,80.86,31.590000000000003
17.8,112.42,80.83,31.590000000000003
17.8,112.56,80.96,31.60000000000001
17.8,112.62,81.02,31.60000000000001
17.8,112.52,80.93,31.58999999999999
17.8,111.51,80.0,31.510000000000005
17.8,111.55,80.05,31.5
17.81,112.55,80.98,31.569999999999993
17.81,112.69,81.07,31.620000000000005
17.81,112.64,81.02,31.620000000000005
17.81,112.47,80.87,31.599999999999994
17.81,112.42,80.82,31.60000000000001
17.81,112.51,80.91,31.60000000000001
