time,delta
58.0,33.43333333333332
58.0,33.43333333333332
58.01,33.43333333333332
58.01,33.43333333333334
58.01,33.46666666666667
58.01,33.5
58.01,33.43333333333334
58.01,33.43333333333334
58.01,33.46666666666667
58.01,33.46666666666667
58.01,33.46666666666667
58.01,33.5
58.02,33.5
58.02,33.5
58.02,33.5
58.02,33.533333333333346
58.02,33.56666666666668
58.02,33.56666666666666
58.02,33.599999999999994
58.02,33.599999999999994
58.02,33.60000000000001
58.02,33.63333333333334
58.03,33.63333333333334
58.03,33.66666666666667
58.03,33.7
58.03,33.66666666666666
58.03,33.69999999999999
58.03,33.66666666666667
58.03,33.66666666666667
58.03,33.63333333333334
58.03,33.56666666666668
58.03,33.56666666666666
58.04,33.60000000000001
58.04,33.60000000000001
58.04,33.60000000000001
58.04,33.63333333333334
58.04,33.7
58.04,33.7
58.04,33.7
58.04,33.7
58.04,33.766666666666666
58.04,33.733333333333334
58.05,33.733333333333334
58.05,33.733333333333334
58.05,33.733333333333334
58.05,33.7
58.05,33.7
58.05,33.66666666666667
58.05,33.63333333333334
58.05,33.599999999999994
58.05,33.56666666666666
58.05,33.53333333333333
58.06,33.56666666666666
58.06,33.56666666666666
58.06,33.56666666666666
58.06,33.63333333333334
58.06,33.66666666666667
58.06,33.69999999999999
58.06,33.7
58.06,33.733333333333334
58.06,33.80000000000001
58.06,33.83333333333333
58.07,33.8
58.07,33.766666666666666
58.07,33.8
58.07,33.766666666666666
58.07,33.733333333333334
58.07,33.733333333333334
58.07,33.7
58.07,33.7
58.07,33.7
58.07,33.69999999999999
58.08,33.766666666666666
58.08,33.8
58.08,33.8
58.08,33.83333333333334
58.08,33.83333333333333
58.08,33.900000000000006
58.08,33.93333333333334
58.08,33.96666666666667
58.08,34.0
58.08,34.03333333333333
58.09,34.03333333333333
58.09,34.033333333333346
58.09,34.033333333333346
58.09,34.0
58.09,33.96666666666667
58.09,33.93333333333334
58.09,33.89999999999999
58.09,33.900000000000006
