time,left_gate,right_gate,delta
9.71,106.32,75.01,31.309999999999988
9.71,106.24,74.94,31.299999999999997
9.71,106.23,74.93,31.299999999999997
9.71,106.23,74.93,31.299999999999997
9.71,106.23,74.92,31.310000000000002
9.71,106.23,74.92,31.310000000000002
9.71,106.24,74.91,31.33
9.71,106.23,74.91,31.320000000000007
9.71,106.23,74.92,31.310000000000002
9.72,107.33,75.93,31.39999999999999
9.72,106.38,75.04,31.33999999999999
9.72,106.34,75.01,31.33
9.72,106.26,74.93,31.33
9.72,106.26,74.92,31.340000000000003
9.72,106.25,74.91,31.340000000000003
9.72,106.25,74.9,31.349999999999994
9.72,106.33,74.97,31.36
9.72,106.44,75.07,31.370000000000005
9.72,106.4,75.03,31.370000000000005
9.72,106.26,74.9,31.36
9.73,107.35,75.9,31.44999999999999
9.73,106.39,75.02,31.370000000000005
9.73,106.35,75.0,31.349999999999994
9.73,106.27,74.93,31.33999999999999
9.73,106.26,74.93,31.33
9.73,106.26,74.92,31.340000000000003
9.73,106.26,74.92,31.340000000000003
9.73,106.44,75.1,31.340000000000003
9.73,106.39,75.04,31.349999999999994
9.73,106.25,74.91,31.340000000000003
9.73,106.24,74.91,31.33
