time,left_gate,right_gate,delta
65.19,115.16,82.59,32.56999999999999
65.19,115.16,82.59,32.56999999999999
65.19,115.16,82.58,32.58
65.19,115.16,82.58,32.58
65.19,115.16,82.58,32.58
65.19,115.15,82.57,32.58000000000001
65.19,115.15,82.58,32.57000000000001
65.19,115.15,82.59,32.56
65.19,115.16,82.59,32.56999999999999
65.2,115.16,82.59,32.56999999999999
65.2,115.17,82.59,32.58
65.2,115.17,82.59,32.58
65.2,115.18,82.59,32.59
65.2,115.16,82.58,32.58
65.2,115.16,82.58,32.58
65.2,115.16,82.57,32.59
65.2,115.15,82.56,32.59
65.2,115.11,82.52,32.59
65.2,115.11,82.51,32.599999999999994
65.21,115.11,82.51,32.599999999999994
65.21,115.11,82.51,32.599999999999994
65.21,115.11,82.51,32.599999999999994
65.21,115.11,82.51,32.599999999999994
65.21,115.11,82.51,32.599999999999994
65.21,115.11,82.5,32.61
65.21,115.12,82.5,32.620000000000005
65.21,115.12,82.5,32.620000000000005
65.21,115.12,82.5,32.620000000000005
65.21,115.12,82.5,32.620000000000005
65.22,115.12,82.5,32.620000000000005
65.22,115.12,82.49,32.63000000000001
65.22,115.12,82.49,32.63000000000001
65.22,115.12,82.49,32.63000000000001
65.22,115.11,82.48,32.629999999999995
65.22,115.13,82.5,32.629999999999995
65.22,115.14,82.5,32.64
65.22,115.13,82.5,32.629999999999995
65.22,115.13,82.51,32.61999999999999
65.22,115.13,82.52,32.61
65.23,115.13,82.51,32.61999999999999
65.23,115.13,82.51,32.61999999999999
65.23,115.12,82.51,32.61
65.23,115.13,82.51,32.61999999999999
65.23,115.13,82.51,32.61999999999999
65.23,115.14,82.51,32.629999999999995
65.23,115.12,82.51,32.61
65.23,115.04,82.44,32.60000000000001
65.23,115.11,82.52,32.59
65.23,115.11,82.52,32.59
65.24,115.11,82.52,32.59
65.24,115.11,82.52,32.59
65.24,115.12,82.53,32.59
65.24,115.12,82.55,32.57000000000001
65.24,115.07,82.5,32.56999999999999
65.24,115.09,82.52,32.57000000000001
65.24,115.09,82.53,32.56
65.24,115.1,82.52,32.58
65.24,115.09,82.51,32.58
65.24,115.07,82.48,32.58999999999999
65.25,115.07,82.48,32.58999999999999
65.25,115.07,82.48,32.58999999999999
65.25,115.07,82.47,32.599999999999994
65.25,115.06,82.47,32.59
65.25,115.06,82.47,32.59
65.25,115.06,82.46,32.60000000000001
65.25,115.06,82.45,32.61
65.25,115.06,82.45,32.61
65.25,115.06,82.46,32.60000000000001
65.25,115.08,82.47,32.61
65.26,115.08,82.47,32.61
65.26,115.09,82.47,32.620000000000005
65.26,115.1,82.48,32.61999999999999
65.26,115.1,82.48,32.61999999999999
65.26,115.1,82.48,32.61999999999999
65.26,115.1,82.48,32.61999999999999
65.26,115.1,82.49,32.61
65.26,115.09,82.49,32.60000000000001
65.26,115.09,82.49,32.60000000000001
65.26,115.09,82.5,32.59
65.27,115.09,82.5,32.59
65.27,115.09,82.5,32.59
65.27,115.09,82.5,32.59
65.27,115.1,82.51,32.58999999999999
65.27,115.13,82.55,32.58
65.27,115.14,82.56,32.58
65.27,115.16,82.56,32.599999999999994
65.27,115.25,82.65,32.599999999999994
65.27,115.2,82.6,32.60000000000001
65.27,115.2,82.59,32.61
65.28,115.2,82.59,32.61
65.28,115.2,82.59,32.61
65.28,115.2,82.59,32.61
65.28,115.21,82.59,32.61999999999999
65.28,115.22,82.59,32.629999999999995
65.28,115.22,82.58,32.64
65.28,115.22,82.57,32.650000000000006
65.28,115.21,82.56,32.64999999999999
65.28,115.21,82.56,32.64999999999999
65.28,115.25,82.59,32.66
65.29,115.25,82.59,32.66
65.29,115.25,82.59,32.66
65.29,115.25,82.59,32.66
65.29,115.23,82.57,32.66000000000001
65.29,115.21,82.55,32.66
65.29,115.2,82.53,32.67
65.29,115.21,82.54,32.66999999999999
65.29,115.13,82.46,32.67
65.29,115.17,82.5,32.67
65.29,115.16,82.5,32.66
65.3,115.16,82.5,32.66
65.3,115.16,82.5,32.66
65.3,115.17,82.5,32.67
65.3,115.16,82.5,32.66
65.3,115.17,82.51,32.66
65.3,115.17,82.51,32.66
65.3,115.17,82.51,32.66
65.3,115.18,82.52,32.66000000000001
65.3,115.22,82.56,32.66
65.3,115.23,82.58,32.650000000000006
65.31,115.23,82.58,32.650000000000006
65.31,115.22,82.58,32.64
65.31,115.23,82.59,32.64
65.31,115.23,82.59,32.64
65.31,115.22,82.59,32.629999999999995
65.31,115.22,82.6,32.620000000000005
65.31,115.2,82.59,32.61
65.31,115.12,82.52,32.60000000000001
65.31,115.19,82.59,32.599999999999994
65.31,115.17,82.59,32.58
65.32,115.17,82.58,32.59
65.32,115.16,82.58,32.58
65.32,115.15,82.58,32.57000000000001
65.32,115.16,82.59,32.56999999999999
65.32,115.17,82.6,32.57000000000001
65.32,115.15,82.58,32.57000000000001
65.32,115.15,82.58,32.57000000000001
65.32,115.16,82.58,32.58
65.32,115.16,82.57,32.59
65.32,115.16,82.57,32.59
65.33,115.16,82.57,32.59
65.33,115.16,82.57,32.59
65.33,115.16,82.57,32.59
65.33,115.17,82.57,32.60000000000001
65.33,115.17,82.56,32.61
65.33,115.16,82.55,32.61
65.33,115.18,82.55,32.63000000000001
65.33,115.26,82.63,32.63000000000001
65.33,115.19,82.55,32.64
