time,ch0_delta,ch1_delta,ch2_delta,ch3_delta,ch4_delta,ch5_delta,ch6_delta,ch7_delta
87.109,55.04666666666665,-19.17166666666668,24.245000000000005,-9.546666666666624,43.47666666666666,-36.32000000000002,38.01833333333332,6.545000000000016
87.119,55.03,-19.174999999999983,24.27000000000001,-9.558333333333337,43.478333333333325,-36.31499999999997,38.01833333333332,6.543333333333294
87.129,55.01000000000002,-19.176666666666677,24.29333333333335,-9.566666666666663,43.47666666666666,-36.315000000000026,38.02333333333331,6.546666666666681
87.139,54.9966666666667,-19.180000000000007,24.32000000000002,-9.576666666666654,43.47999999999999,-36.31166666666664,38.02166666666665,6.543333333333294
87.149,54.974999999999994,-19.200000000000017,24.34166666666667,-9.583333333333314,43.47666666666666,-36.315000000000026,38.02499999999998,6.546666666666681
87.163,54.96333333333334,-19.196666666666687,24.340000000000003,-9.58166666666665,43.47999999999999,-36.31166666666664,38.02333333333331,6.543333333333294
87.172,54.94999999999999,-19.200000000000017,24.34166666666667,-9.583333333333314,43.47666666666666,-36.31333333333336,38.02333333333331,6.550000000000011
87.181,54.93833333333333,-19.196666666666687,24.340000000000003,-9.583333333333314,43.478333333333325,-36.309999999999974,38.02166666666665,6.543333333333294
87.19,54.905,-19.19999999999999,24.329999999999984,-9.583333333333314,43.47666666666666,-36.31000000000003,38.02666666666664,6.546666666666681
87.199,54.873333333333335,-19.194999999999993,24.301666666666677,-9.58499999999998,43.478333333333325,-36.30499999999998,38.02666666666664,6.541666666666629
87.209,54.85666666666668,-19.21666666666667,24.321666666666687,-9.586666666666702,43.474999999999994,-36.30333333333331,38.03166666666664,6.545000000000016
87.219,54.83833333333331,-19.241666666666646,24.346666666666664,-9.590000000000032,43.47666666666666,-36.29999999999998,38.02833333333331,6.539999999999964
87.229,54.81666666666666,-19.241666666666646,24.36833333333334,-9.599999999999966,43.47333333333333,-36.30166666666665,38.0333333333333,6.545000000000016
87.239,54.80000000000001,-19.24333333333334,24.39500000000001,-9.611666666666679,43.474999999999994,-36.29666666666665,38.03166666666664,6.541666666666629
87.249,54.78000000000003,-19.24333333333334,24.418333333333322,-9.623333333333335,43.471666666666664,-36.29666666666665,38.03666666666663,6.546666666666681
87.259,54.76499999999996,-19.26666666666665,24.454999999999984,-9.62166666666667,43.47333333333333,-36.29499999999999,38.035,6.543333333333294
87.269,54.745000000000005,-19.288333333333327,24.478333333333353,-9.63166666666666,43.47,-36.29666666666665,38.0383333333333,6.546666666666681
87.279,54.73333333333335,-19.313333333333333,24.51666666666668,-9.62833333333333,43.471666666666664,-36.29333333333332,38.03666666666666,6.541666666666629
87.289,54.71333333333337,-19.313333333333333,24.54000000000002,-9.641666666666652,43.468333333333334,-36.29499999999999,38.03999999999999,6.545000000000016
87.299,54.69999999999999,-19.314999999999998,24.566666666666663,-9.653333333333364,43.47,-36.28999999999999,38.03999999999999,6.541666666666629
87.309,54.68666666666667,-19.336666666666645,24.585000000000008,-9.66500000000002,43.46666666666667,-36.28999999999999,38.04499999999999,6.546666666666681
87.319,54.67833333333334,-19.36166666666668,24.625,-9.659999999999968,43.47,-36.285,38.04499999999999,6.541666666666629
