time, ch0_left_gate_raw, ch0_right_gate_raw, ch1_left_gate_raw, ch1_right_gate_raw, ch2_left_gate_raw, ch2_right_gate_raw, ch3_left_gate_raw, ch3_right_gate_raw
17681,313,272,787,652,262,220,267,247
17690,301,262,1160,1018,270,222,265,248
17691,312,272,785,647,262,220,267,248
17700,300,261,1166,1003,269,221,264,247
17701,313,272,790,655,262,220,267,247
17710,301,262,1160,1016,270,222,265,248
17711,313,273,785,651,262,220,267,248
17720,299,261,1163,1005,269,222,264,247
17721,313,272,786,654,262,220,267,247
17730,301,262,1167,1018,270,222,265,248
17731,313,273,788,652,262,220,267,248
17740,300,261,1168,1004,269,222,264,247
17741,312,272,786,649,262,220,267,247
17750,301,262,1163,1017,270,222,265,248
17751,312,272,783,650,262,220,267,248
17760,300,261,1166,1005,269,221,264,247
17761,312,272,791,654,262,220,267,247
17770,301,262,1161,1017,270,222,265,248
17771,313,272,784,650,262,220,267,248
17780,300,261,1160,1003,269,221,264,247
17781,312,272,784,650,262,220,267,247
17790,301,262,1165,1020,270,222,265,248
17791,312,272,784,649,262,220,267,248
17800,300,261,1166,1005,269,222,264,247
17801,313,272,786,652,262,220,267,247
17810,301,262,1166,1019,270,222,265,248
17811,312,272,785,650,262,220,267,248
17820,300,261,1166,1004,269,222,264,247
17821,312,272,791,652,262,220,267,247
17830,301,262,1164,1017,270,222,265,248
17831,312,273,780,649,262,220,267,248
17840,299,261,1165,1008,269,222,264,247
17841,313,272,793,655,263,221,267,247
17850,301,262,1163,1017,270,222,265,248
17851,312,272,785,651,262,220,267,248
17860,300,261,1167,1005,269,222,264,247
17861,312,272,793,654,262,220,267,247
17870,301,262,1164,1016,270,222,265,248
17871,313,272,790,654,262,220,268,248
17880,300,261,1167,1005,269,222,264,247
17881,312,272,785,651,262,220,267,247
17890,301,262,1169,1019,270,222,265,248
17891,312,273,788,654,262,220,267,248
17900,300,261,1168,1006,269,221,264,247
17901,313,272,788,653,262,220,267,247
17910,301,262,1168,1017,270,222,265,248
17911,312,272,784,652,262,220,267,248
17920,299,261,1170,1004,269,222,264,247
17921,312,272,790,651,262,220,267,247
17930,301,262,1169,1018,270,222,265,248
17931,312,273,787,651,262,220,267,248
17940,300,261,1166,1006,269,222,264,247
17941,312,272,792,656,262,220,267,247
17950,301,262,1169,1016,270,222,265,248
17951,313,273,790,654,262,220,268,248
17960,299,261,1164,1005,269,222,264,247
17961,313,272,787,652,262,220,267,247
17970,301,262,1166,1019,270,222,265,248
17971,313,272,785,650,262,220,267,248
17980,299,261,1170,1003,269,222,263,247
17981,312,272,785,652,262,220,267,247
17990,301,262,1167,1019,270,222,265,248
17991,313,272,785,653,262,220,267,248
18000,300,261,1170,1005,269,222,264,247
18001,313,272,787,652,262,220,267,247
18010,301,262,1171,1018,270,222,265,248
18011,313,272,786,653,262,220,267,248
18020,300,261,1171,1003,269,222,264,247
18021,312,272,791,655,262,220,267,247
18030,301,262,1168,1018,270,222,265,248
18031,313,272,786,650,262,220,267,248
18040,300,261,1169,1004,269,222,264,247
18041,312,272,792,655,262,220,267,247
18050,301,262,1169,1017,269,222,265,248
18051,312,272,790,653,262,220,268,248
18060,300,261,1170,1005,269,222,264,247
18061,313,272,787,653,262,220,267,247
18070,301,262,1174,1020,270,222,265,248
18071,313,272,788,652,262,220,268,248
18080,299,261,1174,1005,269,222,264,247
18081,313,272,791,655,262,220,267,247
18090,302,262,1298,1018,276,228,291,276
18091,309,266,1259,996,275,227,289,274
18100,300,260,1170,1006,269,222,264,247
18101,313,272,793,656,262,220,267,247
18110,301,262,1166,1016,269,222,265,248
18111,314,272,798,661,263,221,268,248
18120,299,261,1172,1005,269,221,264,247
18121,313,272,792,657,262,220,267,247
18130,301,262,1170,1020,270,222,265,248
18131,313,272,790,654,262,220,268,248
18140,300,261,1168,1006,269,222,264,247
18141,313,272,793,657,262,220,267,247
18150,302,262,1169,1021,269,222,265,248
18151,313,273,790,649,262,221,267,248
18160,300,261,1174,1006,269,222,264,247
18161,313,272,797,660,263,221,267,248
18170,302,262,1168,1020,270,222,265,248
18171,313,272,791,654,262,221,268,248
18180,300,261,1175,1004,269,222,264,247
18181,314,272,803,664,263,221,268,249
18190,301,262,1174,1019,270,222,265,248
18191,314,272,795,658,263,221,268,248
18200,300,261,1170,1003,269,222,264,247
18201,313,272,790,657,262,220,267,247
18210,301,262,1170,1019,270,222,265,248
18211,313,272,797,660,263,221,268,248
18220,300,261,1173,1001,269,222,264,247
18221,313,272,790,656,262,220,268,247
18230,301,262,1176,1020,270,222,265,248
18231,313,272,795,656,263,221,268,248
18240,300,261,1172,1007,269,222,264,247
18241,313,272,794,658,263,220,267,248
18250,301,262,1174,1024,270,222,265,248
18251,314,272,799,659,263,221,268,248
18260,300,261,1176,1004,269,222,264,247
18261,313,272,793,653,262,221,267,247
18274,300,261,1247,999,275,227,289,275
18280,300,261,1172,1007,269,222,264,247
18281,312,272,796,657,263,221,267,248
18290,302,262,1170,1021,270,222,265,248
18291,313,272,793,659,263,221,268,248
18300,300,261,1172,1005,269,222,264,247
18301,313,272,794,655,262,220,267,247
18310,302,262,1175,1017,270,222,265,248
18311,313,273,794,659,263,221,268,248
18320,300,261,1176,1007,269,222,264,247
18321,313,272,790,656,262,220,267,247
18330,301,262,1174,1019,269,222,265,248
18331,314,272,792,654,263,221,267,248
18340,300,261,1173,1003,269,222,264,247
18341,314,272,793,658,262,221,267,248
18350,302,262,1173,1018,270,222,265,248
18351,313,273,792,654,262,220,268,248
18360,301,261,1173,1007,269,222,264,247
18361,313,272,794,656,262,220,268,247
18370,301,262,1174,1022,270,222,265,248
18371,312,272,795,657,262,221,268,248
18380,300,261,1174,1007,269,222,264,247
18381,313,272,795,657,262,220,267,247
18390,302,262,1173,1018,269,222,265,248
18391,313,272,790,653,262,220,267,247
18400,300,261,1175,1006,269,222,264,247
18401,313,272,792,657,262,220,267,247
18410,302,262,1176,1017,270,222,265,248
18411,314,272,807,665,264,221,268,248
18420,300,261,1175,1006,269,222,264,247
18421,313,272,792,657,262,220,267,247
18430,302,262,1174,1022,270,222,266,248
18431,313,272,798,661,263,221,268,248
18440,300,261,1175,1004,269,221,264,247
18441,314,272,797,659,263,221,268,248
18450,301,262,1175,1019,270,222,265,248
18451,314,272,797,658,263,221,268,248
18460,300,261,1176,1015,269,222,264,247
18461,314,272,797,671,263,221,267,248
18470,301,262,1178,1030,270,222,265,248
18471,314,272,800,668,262,221,268,248
18480,300,261,1179,1018,269,222,264,247
18481,313,272,798,667,263,221,268,248
18490,302,262,1174,1030,269,222,265,248
18491,314,273,797,666,263,221,268,248
18500,300,261,1179,1008,269,222,264,247
18501,313,272,794,660,263,221,267,248
18510,302,262,1173,1020,270,222,265,248
18511,313,272,795,653,263,221,268,248
18520,301,261,1178,1006,269,222,264,247
18521,313,272,793,657,262,220,267,248
18530,301,262,1177,1021,269,222,265,248
18531,314,273,791,657,262,221,267,248
18540,301,261,1176,1008,269,221,264,247
18541,314,272,793,658,262,220,268,248
18550,302,262,1181,1019,270,222,266,248
18551,313,272,797,658,262,220,267,248
18560,300,261,1180,1009,269,222,264,247
18561,314,272,795,661,263,220,268,248
18570,301,262,1182,1021,270,222,265,248
18571,314,272,801,668,263,221,268,248
18580,300,261,1179,1007,269,222,264,247
18581,313,272,800,657,262,220,267,248
18590,302,262,1179,1018,270,222,265,248
18591,313,272,798,664,263,221,268,248
18600,300,261,1179,1005,269,222,264,247
18601,313,272,799,655,263,221,268,248
18610,301,262,1182,1022,270,222,265,248
18611,314,272,788,658,262,220,267,248
18620,301,261,1178,1006,269,222,264,247
18621,313,272,791,658,262,220,267,247
18630,301,262,1178,1021,270,222,265,248
18631,314,273,795,660,263,221,268,248
18640,301,261,1179,1006,269,221,264,247
18641,313,272,791,653,262,220,267,247
18650,302,262,1178,1019,270,222,265,248
18651,314,272,795,661,263,221,268,248
18660,301,261,1178,1007,269,222,264,247
18661,314,272,802,658,263,221,268,248
18670,302,262,1180,1019,270,222,265,248
18671,314,272,799,662,263,221,268,248
18680,301,261,1180,1008,269,222,264,247
18681,315,272,799,663,263,221,268,248
